year,sex,school_id,school_name,enrolment
2006,MF,10,Ngee Ann Polytechnic,14258.0
2007,F,10,Ngee Ann Polytechnic,7007.0
2007,MF,10,Ngee Ann Polytechnic,14687.0
2008,F,10,Ngee Ann Polytechnic,7214.0
2008,MF,10,Ngee Ann Polytechnic,15123.0
2009,F,10,Ngee Ann Polytechnic,7436.0
2009,MF,10,Ngee Ann Polytechnic,15417.0
2010,F,10,Ngee Ann Polytechnic,7655.0
2010,MF,10,Ngee Ann Polytechnic,15942.0
2011,F,10,Ngee Ann Polytechnic,7703.0
2011,MF,10,Ngee Ann Polytechnic,16139.0
2012,F,10,Ngee Ann Polytechnic,7788.0
2012,MF,10,Ngee Ann Polytechnic,16430.0
2013,F,10,Ngee Ann Polytechnic,7866.0
2013,MF,10,Ngee Ann Polytechnic,16581.0
2014,F,10,Ngee Ann Polytechnic,7758.0
2014,MF,10,Ngee Ann Polytechnic,16227.0
2015,F,10,Ngee Ann Polytechnic,7465.0
2015,MF,10,Ngee Ann Polytechnic,15611.0
2016,F,10,Ngee Ann Polytechnic,7243.0
2016,MF,10,Ngee Ann Polytechnic,14866.0
2017,F,10,Ngee Ann Polytechnic,7304.0
2017,MF,10,Ngee Ann Polytechnic,14599.0
2018,F,10,Ngee Ann Polytechnic,7469.0
2018,MF,10,Ngee Ann Polytechnic,14543.0
2019,F,10,Ngee Ann Polytechnic,7431.0
2019,MF,10,Ngee Ann Polytechnic,14233.0
2020,F,10,Ngee Ann Polytechnic,7205.0
2020,MF,10,Ngee Ann Polytechnic,13637.0
2021,F,10,Ngee Ann Polytechnic,6943.0
2021,MF,10,Ngee Ann Polytechnic,12996.0
2022,F,10,Ngee Ann Polytechnic,6735.0
2022,MF,10,Ngee Ann Polytechnic,12500.0
2023,F,10,Ngee Ann Polytechnic,6620.0
2023,MF,10,Ngee Ann Polytechnic,12397.0
2024,F,10,Ngee Ann Polytechnic,6738.0
2024,MF,10,Ngee Ann Polytechnic,12578.0
1990,F,17,Temasek Polytechnic,552.0
1990,MF,17,Temasek Polytechnic,735.0
1991,F,17,Temasek Polytechnic,1006.0
1991,MF,17,Temasek Polytechnic,1472.0
1992,F,17,Temasek Polytechnic,1490.0
1992,MF,17,Temasek Polytechnic,2268.0
1993,F,17,Temasek Polytechnic,1826.0
1993,MF,17,Temasek Polytechnic,3107.0
1994,F,17,Temasek Polytechnic,2156.0
1994,MF,17,Temasek Polytechnic,3854.0
1995,F,17,Temasek Polytechnic,3026.0
1995,MF,17,Temasek Polytechnic,5443.0
1996,F,17,Temasek Polytechnic,4076.0
1996,MF,17,Temasek Polytechnic,7681.0
1997,F,17,Temasek Polytechnic,5157.0
1997,MF,17,Temasek Polytechnic,9806.0
1998,F,17,Temasek Polytechnic,5942.0
1998,MF,17,Temasek Polytechnic,11462.0
1999,F,17,Temasek Polytechnic,6300.0
1999,MF,17,Temasek Polytechnic,12230.0
2000,F,17,Temasek Polytechnic,6446.0
2000,MF,17,Temasek Polytechnic,12733.0
2001,F,17,Temasek Polytechnic,6501.0
2001,MF,17,Temasek Polytechnic,13143.0
2002,F,17,Temasek Polytechnic,6579.0
2002,MF,17,Temasek Polytechnic,13324.0
2003,F,17,Temasek Polytechnic,6462.0
2003,MF,17,Temasek Polytechnic,13117.0
2004,F,17,Temasek Polytechnic,6302.0
